FehlerKat.;Techn. Platz;Tech.Identnr.;Beschreibung;Verantw.ArbPl.;Meldungsdatum;Meldungszeit;StörBeginn;StörungsBegZt;Störungsende;StörungsEndZt;Meldung;Auftrag;Aktionenbezeichnung;Aktionstext;Codierung Text;Fehlerart Gruppe;Fehlerart Code;Fehlerart Text;Ursache Gruppe;Ursache Code;Ursache Text
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen;A474;22.09.2018;09:25:53;24.09.2018;06:42:41;;00:00:00;2262745;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0703-2-001-01;W2006;W2006 kein Weichenblock m. Pantograph;A474;21.09.2018;08:17:24;21.09.2018;08:23:48;;00:00:00;2262669;;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1003;Weiche 1003 stellt gegen Perron A;A474;20.09.2018;08:46:23;20.09.2018;09:42:52;;00:00:00;2262593;215523;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0902-2-001-01;HNP0105;LSA Anmeldung funktioniert nicht;A474;20.09.2018;13:33:57;17.09.2018;07:00:00;18.09.2018;12:00:00;2262618;215522;Weitere Aktionen;;;5;17;unbekannter Fehler;2;2;Technische Störung
C;03-0101-026-01-2;;Oberleitungsschaden Wenderadius PaulKlee;A474;19.09.2018;10:18:19;19.09.2018;10:36:45;;00:00:00;2262537;215521;;;;6;2;Fahrleitungsschaden;2;10;unbekannt /sonstiges
B;01-0340-2-001-01;W1010;Weichen Nr 1010 ist schwarz;A474;19.09.2018;16:23:17;19.09.2018;16:34:56;;00:00:00;2262564;215520;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
X;03-0101-091-12;#NAME?;Jahreswartung schwenkbare Fahrleitung;A474;17.09.2018;08:02:12;;00:00:00;;00:00:00;2262226;215363;Gewartet;schwenkbare Fahrleitung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP0043;HNP0043 Jahreswartung Weichensteuerung;A474;17.09.2018;08:47:30;;00:00:00;;00:00:00;2262258;215481;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP0045;HNP0045 Jahreswartung Weichensteuerung;A474;17.09.2018;08:48:01;;00:00:00;;00:00:00;2262259;215482;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP0049;HNP0049 Jahreswartung Weichensteuerung;A474;17.09.2018;08:49:21;;00:00:00;;00:00:00;2262260;215483;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-01;HNP0101;HNP0101 Jahreswartung Weichensteuerung;A474;17.09.2018;08:34:40;;00:00:00;;00:00:00;2262239;215451;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;HNP0105;HNP0105 Jahreswartung Weichensteuerung;A474;17.09.2018;08:49:50;;00:00:00;;00:00:00;2262261;215484;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-01;HNP0185;HNP0185 Jahreswartung Weichensteuerung;A474;17.09.2018;08:12:14;;00:00:00;;00:00:00;2262229;215436;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-01;HNP0188;HNP0188 Jahreswartung Weichensteuerung;A474;17.09.2018;08:12:59;;00:00:00;;00:00:00;2262230;215437;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;HNP0208;HNP0208 Jahreswartung Weichensteuerung;A474;17.09.2018;08:17:37;;00:00:00;;00:00:00;2262231;215438;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0903-2-001-01;HNP0211;HNP0211 Jahreswartung Weichensteuerung;A474;17.09.2018;08:27:48;;00:00:00;;00:00:00;2262232;215439;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0903-2-001-01;HNP0239;HNP0239 Jahreswartung Weichensteuerung;A474;17.09.2018;08:28:14;;00:00:00;;00:00:00;2262233;215440;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-01;HNP0274;HNP0274 Jahreswartung Weichensteuerung;A474;17.09.2018;08:50:20;;00:00:00;;00:00:00;2262262;215485;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0342-2-001-01;HNP0301;HNP0301 Jahreswartung Weichensteuerung;A474;17.09.2018;08:50:53;;00:00:00;;00:00:00;2262263;215486;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0802-2-001-01;HNP0304;HNP0304 Jahreswartung Weichensteuerung;A474;17.09.2018;08:51:22;;00:00:00;;00:00:00;2262264;215487;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1000;HNP1000 Jahreswartung Weichensteuerung;A474;17.09.2018;08:51:52;;00:00:00;;00:00:00;2262265;215488;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1003;HNP1003 Jahreswartung Weichensteuerung;A474;17.09.2018;08:52:17;;00:00:00;;00:00:00;2262266;215489;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1006;HNP1006 Jahreswartung Weichensteuerung;A474;17.09.2018;08:38:57;;00:00:00;;00:00:00;2262250;215465;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1009;HNP1009 Jahreswartung Weichensteuerung;A474;17.09.2018;08:39:54;;00:00:00;;00:00:00;2262251;215466;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1014;HNP1014 Jahreswartung Weichensteuerung;A474;17.09.2018;08:42:34;;00:00:00;;00:00:00;2262252;215467;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;HNP1016;HNP1016 Jahreswartung Weichensteuerung;A474;17.09.2018;08:43:55;;00:00:00;;00:00:00;2262253;215468;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0338-2-001-01;HNP2000;HNP2000 Jahreswartung Weichensteuerung;A474;17.09.2018;08:44:26;;00:00:00;;00:00:00;2262254;215469;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0337-2-001-01;HNP2002;HNP2002 Jahreswartung Weichensteuerung;A474;17.09.2018;08:35:11;;00:00:00;;00:00:00;2262240;215452;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0703-2-001-01;HNP2006;HNP2006 Jahreswartung Weichensteuerung;A474;17.09.2018;08:35:39;;00:00:00;;00:00:00;2262241;215453;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-01;HNP2010;HNP2010 Jahreswartung Weichensteuerung;A474;17.09.2018;08:36:19;;00:00:00;;00:00:00;2262246;215454;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-01;HNP2112;HNP2112 Jahreswartung Weichensteuerung;A474;17.09.2018;08:36:47;;00:00:00;;00:00:00;2262247;215455;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0901-2-001-01;HNP3000;HNP3000 Jahreswartung Weichensteuerung;A474;17.09.2018;08:28:42;;00:00:00;;00:00:00;2262234;215441;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;HNP3002;HNP3002 Jahreswartung Weichensteuerung;A474;17.09.2018;08:37:18;;00:00:00;;00:00:00;2262248;215456;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;HNP3006;HNP3006 Jahreswartung Weichensteuerung;A474;17.09.2018;08:37:47;;00:00:00;;00:00:00;2262249;215457;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9000-2-001-01;HNSA502/1;HNSA502/1 Wartung Heizung und Steuerung;A474;17.09.2018;08:46:33;;00:00:00;;00:00:00;2262257;215480;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9000-2-001-01;HNSA502/2;HNSA502/2 Jahreswartung Weichensteuerung;A474;17.09.2018;08:30:10;;00:00:00;;00:00:00;2262237;215444;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9000-2-001-01;HNSA502/3;HNSA502/3 Jahreswartung Weichensteuerung;A474;17.09.2018;08:30:54;;00:00:00;;00:00:00;2262238;215445;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;HNSA600/1;HNSA600/1 Jahreswartung Weichensteuerung;A474;17.09.2018;08:44:55;;00:00:00;;00:00:00;2262256;215470;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;HNP5100;HNP5100 Jahreswartung Weichensteuerung;A474;17.09.2018;08:29:15;;00:00:00;;00:00:00;2262235;215442;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;HNP5102;HNP5102 Jahreswartung Weichensteuerung;A474;17.09.2018;08:29:45;;00:00:00;;00:00:00;2262236;215443;Gewartet;Weichensteuerung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-03;HCP2112;HCP2112 Jahreswartung Weichenheizung;A474;17.09.2018;09:49:10;;00:00:00;;00:00:00;2262287;215477;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0338-2-001-03;HCP2000;HCP2000 Jahreswartung Weichenheizung;A474;17.09.2018;09:53:22;;00:00:00;;00:00:00;2262293;215493;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0703-2-001-03;HCP2006;HCP2006 Jahreswartung Weichenheizung;A474;17.09.2018;09:54:41;;00:00:00;;00:00:00;2262295;215495;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1014;HCP1014 Jahreswartung Weichenheizung;A474;17.09.2018;09:42:21;;00:00:00;;00:00:00;2262280;215464;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-03;HCP0274;HCP0274 Jahreswartung Weichenheizung;A474;17.09.2018;09:40:36;;00:00:00;;00:00:00;2262276;215460;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP0043;HCP0043 Jahreswartung Weichenheizung;A474;17.09.2018;09:36:39;;00:00:00;;00:00:00;2262271;215446;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0342-2-001-03;HCP0301;HCP0301 Jahreswartung Weichenheizung;A474;17.09.2018;09:47:19;;00:00:00;;00:00:00;2262283;215473;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0903-2-001-03;HCP0211;HCP0211 Jahreswartung Weichenheizung;A474;17.09.2018;09:38:54;;00:00:00;;00:00:00;2262275;215459;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-03;HCP3006;HCP3006 Jahreswartung Weichenheizung;A474;17.09.2018;10:02:53;;00:00:00;;00:00:00;2262296;215496;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-03;HCP0105;HCP0105 Jahreswartung Weichenheizung;A474;17.09.2018;09:52:27;;00:00:00;;00:00:00;2262291;215491;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0907-2-001-03;HCP4004;HCP4004 Jahreswartung Weichenheizung;A474;17.09.2018;10:03:20;;00:00:00;;00:00:00;2262297;215497;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-03;HCP2010;HCP2010 Jahreswartung Weichenheizung;A474;17.09.2018;09:48:44;;00:00:00;;00:00:00;2262286;215476;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-03;HCP0185;HCP0185 Jahreswartung Weichenheizung;A474;17.09.2018;09:42:47;;00:00:00;;00:00:00;2262281;215471;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-03;HCP0188;HCP0188 Jahreswartung Weichenheizung;A474;17.09.2018;09:46:48;;00:00:00;;00:00:00;2262282;215472;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP0049;HCP0049 Jahreswartung Weichenheizung;A474;17.09.2018;09:37:42;;00:00:00;;00:00:00;2262273;215447;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1003;HCP1003 Jahreswartung Weichenheizung;A474;17.09.2018;09:41:02;;00:00:00;;00:00:00;2262277;215461;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1016;HCP1016 Jahreswartung Weichenheizung;A474;17.09.2018;09:52:55;;00:00:00;;00:00:00;2262292;215492;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-03;HCP3002;HCP3002 Jahreswartung Weichenheizung;A474;17.09.2018;09:51:32;;00:00:00;;00:00:00;2262289;215479;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0802-2-001-03;HCP0304;HCP0304 Jahreswartung Weichenheizung;A474;17.09.2018;09:47:51;;00:00:00;;00:00:00;2262284;215474;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1006;HCP1006 Jahreswartung Weichenheizung;A474;17.09.2018;09:41:28;;00:00:00;;00:00:00;2262278;215462;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1000;HCP1000 Jahreswartung Weichenheizung;A474;17.09.2018;09:48:18;;00:00:00;;00:00:00;2262285;215475;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0337-2-001-03;HCP2002;HCP2002 Jahreswartung Weichenheizung;A474;17.09.2018;09:54:15;;00:00:00;;00:00:00;2262294;215494;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-03;HCP1009;HCP1009 Jahreswartung Weichenheizung;A474;17.09.2018;09:41:56;;00:00:00;;00:00:00;2262279;215463;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0901-2-001-03;HCP3000;HCP3000 Jahreswartung Weichenheizung;A474;17.09.2018;09:49:39;;00:00:00;;00:00:00;2262288;215478;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-03;HCP0208;HCP0208 Jahreswartung Weichenheizung;A474;17.09.2018;09:38:09;;00:00:00;;00:00:00;2262274;215458;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-03;HCP5000;HCP5000 Jahreswartung Weichenheizung;A474;17.09.2018;10:03:48;;00:00:00;;00:00:00;2262298;215498;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-03;HCP5006;HCP5006 Jahreswartung Weichenheizung;A474;17.09.2018;10:04:16;;00:00:00;;00:00:00;2262299;215499;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-03;HCP5100;HCP5100 Jahreswartung Weichenheizung;A474;17.09.2018;10:04:40;;00:00:00;;00:00:00;2262300;215500;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-03;HCP0101;HCP0101 Jahreswartung Weichenheizung;A474;17.09.2018;09:52:00;;00:00:00;;00:00:00;2262290;215490;Gewartet;Weichenheizung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0337-2-001-01;W2002;Weiche 2002 gestochen, keine Blockbeleg.;A474;14.09.2018;09:30:12;14.09.2018;10:09:02;;00:00:00;2262069;;;;;7;2;Kein Block;2;2;Technische Störung
C;03-0101-026-01-2;;Fahrgast meldet Muristr.5 s.Notiz;A474;12.09.2018;19:03:58;12.09.2018;18:00:00;12.09.2018;20:00:00;2261934;215359;;;;6;8;sonstiges;2;10;unbekannt /sonstiges
C;01-0337-2-001-01;W2002;W2002 Von Hand gestellt;A474;12.09.2018;10:31:25;12.09.2018;11:00:19;;00:00:00;2261866;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0337-2-001-01;W2002;Weiche 2002 von Hand gestellt;A474;12.09.2018;10:28:56;12.09.2018;10:59:33;;00:00:00;2261865;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-006-01-2;;FL Kontrolle nach Entgleisung DGTB;A474;11.09.2018;06:57:16;10.09.2018;15:00:00;10.09.2018;16:00:00;2261770;215355;Weitere Aktionen;kein Fehler;;6;1;Entgleisung;2;2;Technische Störung
D;01-0340-2-001-03;HCP1009;W1009: HCP austauschen;A474;11.09.2018;06:59:22;11.09.2018;07:00:00;12.09.2018;14:00:00;2261771;215356;Ausgetauscht;HCP ausgetauscht, zur Kontrolle an H&K;;5;17;unbekannter Fehler;2;2;Technische Störung
C;03-0101-013-01;;Eingang Marktgasse Ballone an der Oberle;A474;10.09.2018;07:24:44;10.09.2018;07:37:18;10.09.2018;12:00:00;2261681;215354;;;;6;3;Fremdeinwirkungen;2;6;Drittverschulden
C;01-0340-2-001-01;W1010;W1010, musste stechen,Oberl. avis.;A474;10.09.2018;07:46:44;10.09.2018;07:48:46;;00:00:00;2261685;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
X;01-0902-2-001-01;STW0010;STW0010 Wartung Weichenantrieb W0105;A474;10.09.2018;08:12:56;;00:00:00;;00:00:00;2261693;215343;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;STW0011;STW0011 Wartung Weichenantrieb W0106;A474;10.09.2018;08:13:53;;00:00:00;;00:00:00;2261694;215344;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-01;STW0033;STW0033 Wartung Weichenantrieb W0274;A474;10.09.2018;08:09:22;;00:00:00;;00:00:00;2261687;215334;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0342-2-001-01;STW0035;STW0035 Wartung Weichenantrieb W0301;A474;10.09.2018;08:10:19;;00:00:00;;00:00:00;2261688;215335;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0802-2-001-01;STW0037;STW0037 Wartung Weichenantrieb W0304;A474;10.09.2018;08:14:23;;00:00:00;;00:00:00;2261695;215347;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0901-2-001-01;STW0071;STW0071 Wartung Weichenantrieb W3000;A474;10.09.2018;08:10:49;;00:00:00;;00:00:00;2261689;215336;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;STW0073;STW0073 Wartung Weichenantrieb W3002;A474;10.09.2018;08:11:21;;00:00:00;;00:00:00;2261690;215337;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;STW0075;STW0075 Wartung Weichenantrieb W3004;A474;10.09.2018;08:11:48;;00:00:00;;00:00:00;2261691;215338;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0902-2-001-01;STW0077;STW0077 Wartung Weichenantrieb W3006;A474;10.09.2018;08:12:19;;00:00:00;;00:00:00;2261692;215339;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;03-0101-009;;SEGG + SRAN kommen Äste nahe an Oberleit;A474;03.09.2018;16:11:13;03.09.2018;16:38:11;;00:00:00;2261276;;;;;6;8;sonstiges;2;5;Höhere Gewalt
C;01-9000-2-001-01;HNSA502/1;DBo: SB 1 ausgefallen;A474;30.08.2018;06:28:23;24.08.2018;17:00:00;24.08.2018;18:00:00;2260905;215317;Weitere Aktionen;HFP eingelesen;;7;6;Ausserhalb Toleranz;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/2;DBo: SB 2 ausgefallen;A474;30.08.2018;06:26:33;22.08.2018;15:00:00;22.08.2018;16:00:00;2260904;215316;Kontrolliert;Endlage wieder eingestellt;;7;4;Keine Endlage;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/3;DBo: SB 3 ausgefaalen;A474;30.08.2018;06:21:43;28.08.2018;06:30:00;28.08.2018;08:00:00;2260903;215314;Weitere Aktionen;HFP eingelesen;;7;6;Ausserhalb Toleranz;2;2;Technische Störung
B;02.09.5300/01;900.0.012.1;Störung Schranke Saali,schliesst nicht;A474;29.08.2018;07:12:09;29.08.2018;07:00:00;25.09.2018;09:00:00;2260744;215325;;;;5;12;verstellt;2;2;Technische Störung
C;03-0101-011-01-2;;Bubenbergplatz: FL Schaden;A474;28.08.2018;07:38:21;25.08.2018;17:30:00;25.08.2018;18:30:00;2260662;215310;Ersetzt;;;6;2;Fahrleitungsschaden;2;2;Technische Störung
C;01-0340-2-001-01;W1009;Weiche 1009 schwarz;A474;28.08.2018;12:20:28;28.08.2018;12:30:00;28.08.2018;13:30:00;2260685;215315;;;;7;2;Kein Block;2;2;Technische Störung
X;01-0339-2-001-01;STW0013;STW0013 Wartung Weichenantrieb W0185;A474;27.08.2018;09:42:00;;00:00:00;;00:00:00;2260497;215297;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-01;STW0016;STW0016 Wartung Weichenantrieb W0188;A474;27.08.2018;09:42:33;;00:00:00;;00:00:00;2260498;215298;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0339-2-001-01;STW0018;STW0018 Wartung Weichenantrieb W0190;A474;27.08.2018;09:43:03;;00:00:00;;00:00:00;2260499;215299;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0903-2-001-01;STW0024;STW0024 Wartung Weichenantrieb W0211;A474;27.08.2018;09:43:31;;00:00:00;;00:00:00;2260500;215300;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0903-2-001-01;STW0028;STW0028 Wartung Weichenantrieb W0239;A474;27.08.2018;09:44:01;;00:00:00;;00:00:00;2260501;215301;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0338-2-001-01;STW0057;STW0057 Wartung Weichenantrieb W2000;A474;27.08.2018;09:37:58;;00:00:00;;00:00:00;2260490;215290;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0337-2-001-01;STW0059;STW0059 Wartung Weichenantrieb W2002;A474;27.08.2018;09:38:52;;00:00:00;;00:00:00;2260491;215291;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0337-2-001-01;STW0062;STW0062 Wartung Weichenantrieb W2005;A474;27.08.2018;09:39:24;;00:00:00;;00:00:00;2260492;215292;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0703-2-001-01;STW0063;STW0063 Wartung Weichenantrieb W2006;A474;27.08.2018;09:39:54;;00:00:00;;00:00:00;2260493;215293;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0337-2-001-01;STW0066;STW0066 Wartung Weichenantrieb W2009;A474;27.08.2018;09:40:27;;00:00:00;;00:00:00;2260494;215294;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-01;STW0067;STW0067 Wartung Weichenantrieb W2010;A474;27.08.2018;09:40:58;;00:00:00;;00:00:00;2260495;215295;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0803-2-001-01;STW0069;STW0069 Wartung Weichenantrieb W2112;A474;27.08.2018;09:41:31;;00:00:00;;00:00:00;2260496;215296;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;STW0021;STW0021 Wartung Weichenantrieb W0208;A474;27.08.2018;09:44:34;;00:00:00;;00:00:00;2260502;215307;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;03-0101-005-01-1;;Äste streifen Schleifstück;A474;25.08.2018;23:59:17;27.08.2018;06:46:05;29.08.2018;12:00:00;2260435;202141;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;03-0101-011-01-1;;HB - Hgr Oberleitungsschaden;A474;25.08.2018;17:41:38;27.08.2018;06:43:32;;00:00:00;2260426;215310;;;;6;2;Fahrleitungsschaden;2;10;unbekannt /sonstiges
C;03-0101-008-01-1;;Bäume schneiden;A474;23.08.2018;10:11:59;23.08.2018;10:27:06;29.08.2018;12:00:00;2260272;202141;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;01-0902-2-001-01;W0105;W105 / Block dauernd belegt;A474;23.08.2018;06:23:43;23.08.2018;06:41:09;;00:00:00;2260261;215279;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0902-2-001-01;W0105;W105 dauernd im Block belegt;A474;23.08.2018;09:21:10;23.08.2018;09:28:38;;00:00:00;2260269;215279;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0902-2-001-01;HNP0105;W0105: Block bleibt hängen;A474;22.08.2018;15:11:46;22.08.2018;15:25:01;;00:00:00;2260231;215279;Ausgetauscht;HFK Böxli getauscht;;5;15;Ausserhalb Toleranz;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Weichenblock löscht nicht;A474;21.08.2018;06:24:44;21.08.2018;06:38:54;21.08.2018;09:00:00;2260078;215278;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0902-2-001-01;HNP0105;W0105: Block bleibt hängen;A474;20.08.2018;06:35:24;18.08.2018;15:00:00;18.08.2018;16:00:00;2259983;215258;Eingestellt;HFK neu eingelesen;;5;15;Ausserhalb Toleranz;2;2;Technische Störung
C;01-0902-2-001-01;W0105;Weiche 105 deblockiert nicht;A474;18.08.2018;14:57:43;20.08.2018;06:41:40;20.08.2018;12:00:00;2259933;;Weitere Aktionen;keien Meldung erhalten;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W 1010 gestochen;A474;18.08.2018;11:26:57;20.08.2018;06:41:08;;00:00:00;2259927;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
